id,created_at,text
1561464083295223809,2022-08-21 21:23:42+00:00,"Sarasota County parents are ready to elect school board members who are going to ensure our schools provide a great education for our kids, not a woke indoctrination.

Thanks to all who came out to join us today! Don’t forget to VOTE on Tuesday for these student-first candidates. https://t.co/SDjkE5Q7FP"
1561425853980241920,2022-08-21 18:51:48+00:00,"Miami-Dade County has two great candidates running for their local school board and I am proud to stand with @MonicaColucciFL and @RobertoAlonsoFL today.
 
Remember to go out and vote this Tuesday! https://t.co/ggsAt5y89l"
1561050433837301762,2022-08-20 18:00:00+00:00,".@JDVance will shake up D.C. as Ohio’s next Senator.

Ohio needs someone who has the courage to reject the stale Beltway consensus and chart a new course.

JD will stand strong against Biden’s disastrous policies at every turn.

Stand with JD here:
https://t.co/g7J73GZibH https://t.co/J5Fzoyg2MM"
1561005365671694338,2022-08-20 15:00:55+00:00,".@dougmastriano is a retired Army colonel who will provide strong leadership for Pennsylvania.

He will stand against mandates and restrictions. He will stand for law and order. He will stand against Biden’s reckless immigration and border policies.

https://t.co/elVBiTgeVS https://t.co/COiy0bWKv5"
1559231038756425729,2022-08-15 17:30:23+00:00,"Arizona needs @KariLake as Governor and @bgmasters in the U.S. Senate.

We must stop Biden's destructive policies and that starts with leaders like Kari and Blake.

Support their fight here:

https://t.co/mONeKs142Q

https://t.co/KZZVxFxTXe https://t.co/Kb1IBDZj2p"
1558989616568475648,2022-08-15 01:31:03+00:00,"New Mexico's future is promising with @MarkRonchettiNM at the helm.

Mark will fight Biden's reckless open border policy, stand for law-and-order, and protect the rights of NM against lockdowns, mandates, &amp; restrictions.

Visit https://t.co/HVsz23FJ9D to donate &amp; make NM free! https://t.co/axoF3w8XW8"
1556803433939755010,2022-08-09 00:43:57+00:00,"The raid of MAL is another escalation in the weaponization of federal agencies against the Regime’s political opponents, while people like Hunter Biden get treated with kid gloves. Now the Regime is getting another 87k IRS agents to wield against its adversaries? Banana Republic."
1556690093582295047,2022-08-08 17:13:34+00:00,I'm pleased to endorse @RepJuanFBarquin for re-election to the Florida House. He has been a strong leader in protecting public safety and parental rights. I look forward to working with Juan to Keep Florida Free.
1555547741673103360,2022-08-05 13:34:16+00:00,"It was great to be with the Florida Electric Co-Ops Association for their Annual Meeting in St. Augustine. Florida’s Co-Ops provide electricity to more than 2.4 million Floridians in 54 of Florida’s 67 counties.  

Proud to stand up for rural Florida. https://t.co/cha3TJTDIk"
1555355669921931267,2022-08-05 00:51:03+00:00,"In Florida, we will not allow the pathogen of ignoring the law to get a foothold in our state.

You take an oath to uphold ALL of the laws of our state, not just the ones you like. Otherwise, find a new line of work."
1555336254358798341,2022-08-04 23:33:54+00:00,"I was happy to be in Amelia Island tonight to receive an endorsement from the Florida Transportation Builders’ Association. Our transportation infrastructure is vital to a strong economy and quality of life.

Thank you for having me and for your support, @FTBAInc! https://t.co/aiueLWVJMX"
1552679080306278405,2022-07-28 15:35:14+00:00,"These 29 candidates are committed to advancing a bold education agenda in Florida.

Parents can rest easy knowing that these candidates will fully support their rights, support good curriculum, and ensure that students reach their full potential in our K-12 system. https://t.co/y60h9ekmrl"
1551973343439495168,2022-07-26 16:50:54+00:00,"Kiyan Michael is an Angel Mom, military spouse &amp; lifelong Jacksonville resident.

@kiyanforfl has stood with me in the fight against illegal immigration &amp; will be a leader in the FL House as we fight Biden's open border policies.

I am proud to endorse her candidacy for HD 16."
1550901142015590401,2022-07-23 17:50:21+00:00,"My good friend @marklevinshow moderated this morning’s congressional debates at the Sunshine Summit and I thought I’d join him for a few questions.

The road to taking back the U.S. Congress from Nancy Pelosi begins in Florida! https://t.co/eQuEAelZLV"
1550835625095401473,2022-07-23 13:30:00+00:00,"It was great to see so many freedom-loving young folks come together in the free state of Florida. Thanks for having me at your Student Action Summit, @TPUSA! https://t.co/C5QUac0VXW"
1550592269203509248,2022-07-22 21:23:00+00:00,"Joe Biden violated his constitutional duty to take care that our laws are faithfully executed by opening our southern border to illegal immigrants.

Now, Biden’s failed border chief is lying to the American people.

https://t.co/GssfbXtncG"
1549488249214828546,2022-07-19 20:16:01+00:00,"Forced masking is BACK in California.

Leftist states cannot help themselves — they are philosophically addicted to mandates &amp; restrictions.

In Florida, we know what freedom looks like, &amp; this isn't it. We will never allow the Left to seize power &amp; impose mandates on Floridians. https://t.co/a9sSsDHU8X"
1549198034613026817,2022-07-19 01:02:48+00:00,"It was great to be with so many grassroots supporters in Duval County tonight for their Statesman’s Dinner. Thanks to your hard work, we are going to #KeepFloridaFree! https://t.co/YKypdqAoe9"
1549137234770657298,2022-07-18 21:01:13+00:00,"Brandon's blame game continues.

Students across the country fell behind because of destructive lockdown policies.

In Florida, we followed the data, rejected Faucian decrees, guaranteed kids could go to school, and our students are better off for it.

https://t.co/7UmaZGbt2R"
1548348186313404419,2022-07-16 16:45:49+00:00,"The biggest gathering of Florida Republicans is happening next week from July 22–23 in Hollywood, Florida.

I’m looking forward to seeing our grassroots activists from across the state who are working hard to #KeepFloridaFree in November.

See you there: https://t.co/PHg7v7sEV9 https://t.co/68gRuLRgMP"
1548020816876474372,2022-07-15 19:04:58+00:00,"While other states lock parents out of their children's lives, here in Florida we value parental rights. I am proud to receive the endorsement from @Moms4Liberty in their fight to put children first and to protect parents’ rights. https://t.co/nyAR2QFz8r"
1547696780287938562,2022-07-14 21:37:21+00:00,"It’s crucial we elect strong candidates who are committed to advancing our pro-parent, student-first education agenda in FL.

These candidates will ensure our students succeed, protect parental rights in education, &amp; combat the woke agenda from infiltrating our public schools. https://t.co/solsNOlS5Y"
1547370294498795520,2022-07-14 00:00:01+00:00,"Thanks to Famas Pizza &amp; Pasta for hosting the Freedom Team in Orlando this week.
 
Floridians across the state are fired up for a red wave this November! #KeepFloridaFree https://t.co/3EDI6BN2Pf"
1547008142801879042,2022-07-13 00:00:57+00:00,"In Florida, our first responder heroes will receive $1,000 bonuses for the second year in a row, a small token of our appreciation for their service to their communities.

I am proud to have the endorsement of the Florida Professional Firefighters! https://t.co/Q2ShBDvLQv"
1542508258199486464,2022-06-30 14:00:01+00:00,Thank you to all the supporters who came out to join us at Bumpa's Local 349 in Tallahassee. It was great to see so many Floridians who are ready to #KeepFloridaFree this November. 🐊 https://t.co/NI5WVqj8Gj
1542130773112672256,2022-06-29 13:00:02+00:00,"Americans are struggling because of Brandon's damaging policies.

Steve at Porkie's Original BBQ in Apopka is taking matters into his own hands to help his community by lowering his prices to counteract Bidenflation.

Hoping I can stop in for some delicious BBQ soon! https://t.co/ITz2aTfUjF"
1541511876915466241,2022-06-27 20:00:46+00:00,Great event in South Florida with @benshapiro at Roadhouse. Thanks to all the supporters who came out to join us — it was a packed house! Red wave incoming! https://t.co/quCsmSh6gi
1539726318081826817,2022-06-22 21:45:35+00:00,Political violence from the Left is motivated by the desire to change the outcome of decisions they don't like. It is completely antithetical to the rule of law and there is no place for it in the United States. https://t.co/KF1OqcaeuR
1538900431182626819,2022-06-20 15:03:48+00:00,"We need strong local school board members who are committed to advancing our agenda to put students first and protect parents’ rights.

I am proud to endorse 10 local school board candidates who will set our children up for success.

https://t.co/6Jb5HaaUhI https://t.co/UytFojOY2p"
1537597905300819968,2022-06-17 00:48:02+00:00,"Great to be with the Florida Cattlemen's Association tonight. Florida is one of the largest cattle states in the nation and I'm grateful for the support of thousands of cattlemen whose hard work benefits our state and their communities.

Thank you for having me. https://t.co/SFiVqu5ow1"
1537547010034769922,2022-06-16 21:25:48+00:00,"When Joe Biden came into office, he immediately declared war on American energy. Now, Americans are paying the price at the pump like never before.

Biden has done his best to plunge this country into a recession. https://t.co/fUNl2TCWc6"
1537204662176296960,2022-06-15 22:45:26+00:00,"In Florida, we value student success, parental rights, and curriculum transparency, and we need school board members who do the same. We need strong school boards who will fight for these values and put students first.

Our agenda WILL make that happen.

https://t.co/m3SikiXidd"
1537197072755064833,2022-06-15 22:15:16+00:00,.@ElectSmith28 is a proven fighter for Florida. I commend his service in the USMC and his service in the FL House. I look forward to winning with him in November.
1537182897785999361,2022-06-15 21:18:56+00:00,"Proud to support @JayCollinsFL for Senate District 14. Jay is a conservative, a fighter, and a veteran. He was a Green Beret and is a Purple Heart amputee. I look forward to serving alongside him in Tallahassee."
1537101819926700032,2022-06-15 15:56:46+00:00,"I want to thank Senator Rodrigues (@isayray) for his service to Florida. I wish him well in his future endeavors.

Jonathan Martin is a conservative fighter for Southwest Florida. I am pleased to support him for Senate District 33. He will be a strong ally for our agenda."
1536827111612198912,2022-06-14 21:45:10+00:00,.@JasonFischerFL has been a strong supporter of our Florida Freedom Agenda and I'm glad to support him as he brings that same philosophy to the Office of the Property Appraiser in Duval County in 2023.
